Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4
Cyanobacteria	Phylum	Bacteria		Cyanobacteria						519941.8	2848762.19	867019.0	963364.0	1.6432964E8	1.55692932E8	2179323.0	1.75561998E8	1.19619207E8	2.3492315E7	3.4489809E7	4.7948802E7	5.6602938E7
Fusobacteriota	Phylum	Bacteria		Fusobacteriota						2434950.0	87154.0	239320.0	507243.0	1516190.0	1260210.0	265931.11	3357109.0	7259803.0	833939.0	3451041.0	1.6564233E7	3435530.0
Fibrobacterota	Phylum	Bacteria		Fibrobacterota						0.0	4.5523728E7	8688300.0	1040400.0	398620.0	350620.0	656548.1	1319450.0	5306270.0	976149.0	1197917.0	6992370.0	9543960.0
Synergistota	Phylum	Bacteria		Synergistota						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Firmicutes_C	Phylum	Bacteria		Firmicutes_C						4092156.7899999996	7.737626291E7	1.980234538E7	1.74526052E7	4.0716649E7	6.6091325E7	5324096.21	5.6147918E7	9.9957301E7	3.23626848E7	3.619909E7	6.8346125E7	1.6024695E7
Firmicutes_B	Phylum	Bacteria		Firmicutes_B						439952.0	7.990733101E7	6208729.6	194288.0	1.168496E7	6266684.0	3450494.5	6162081.0	7304666.0	7886370.0	4300486.0	2.398399E7	9915353.0
Thermoplasmatota	Phylum	Archaea		Thermoplasmatota						0.0	0.0	0.0	1.2333E8	0.0	1.8972E7	304550.0	324320.0	1019100.0	1997340.0	462950.0	430960.0	163950.0
Thermoplasmata	Class	Archaea		Thermoplasmatota	Thermoplasmata					0.0	0.0	0.0	1.2333E8	0.0	1.8972E7	304550.0	324320.0	1019100.0	1997340.0	462950.0	430960.0	163950.0
Bacilli	Class	Bacteria		Firmicutes	Bacilli					2.4720351766E8	2.1540377807005203E10	1.3989235609329998E9	6.647383476135E8	6.035647890699999E9	6.078210914179999E9	2.268638573869E8	1.4614054807999997E9	1.3901122365500002E9	6.1860422426E8	7.841327326500001E8	1.9982000064000003E9	1.1500779206999998E9
Fusobacteriia	Class	Bacteria		Fusobacteriota	Fusobacteriia					2434950.0	87154.0	239320.0	507243.0	1516190.0	1260210.0	265931.11	3357109.0	7259803.0	833939.0	3451041.0	1.6564233E7	3435530.0
Elusimicrobia	Class	Bacteria		Elusimicrobiota	Elusimicrobia					0.0	3.25255128E7	3545301.0	1862.8	1.6366E7	0.0	883554.0	0.0	0.0	0.0	0.0	0.0	6300800.0
Clostridia	Class	Bacteria		Firmicutes_A	Clostridia					9.822755038022E9	2.1054575083228647E11	1.752045058894443E10	8.566869336913301E9	3.916262047378801E10	2.795637949787999E10	5.16471337118792E9	2.8625893378329994E10	2.007286883882E10	9.21331869714E9	1.3282776576459997E10	3.0053587992E10	2.5991442206989983E10
Synergistia	Class	Bacteria		Synergistota	Synergistia					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
