Protein IDs	Majority protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4	Only identified by site	Reverse	Potential contaminant	id
MGYG000000092_02843	MGYG000000092_02843	1	1	2.97	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11210
MGYG000002557_01553	MGYG000002557_01553	2	2	2.97	5.4197E6	0E0	0E0	6.0038E5	0E0	1.0352E6	2.0632E6	4.3636E4	7.9656E5	3.3602E5	2.1959E5	0E0	0E0	3.2511E5				11211
MGYG000004789_01282	MGYG000004789_01282	6	4	2.97	3.5468E6	1.4317E5	1.2826E5	1.885E5	2.8777E4	7.1543E5	8.6298E5	6.7685E4	0E0	7.6316E5	4.4899E5	1.999E5	0E0	0E0				11212
MGYG000000038_02287	MGYG000000038_02287	2	2	2.97	5.5798E7	0E0	0E0	0E0	0E0	2.199E7	2.4815E6	1.0518E6	8.3231E6	4.3076E6	1.8948E6	2.7282E6	8.8588E6	4.1623E6				11213
sp|Q13813|SPTN1_HUMAN	sp|Q13813|SPTN1_HUMAN	2	1	2.97	7.8489E6	0E0	0E0	0E0	1.9334E5	2.7255E5	0E0	0E0	3.1308E6	3.4991E6	1.1101E5	0E0	6.4212E5	0E0				11214
MGYG000002712_01876	MGYG000002712_01876	1	1	2.97	1.0434E6	0E0	0E0	0E0	2.4249E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0	8.0093E5	0E0				11215
MGYG000000039_01707	MGYG000000039_01707	7	2	2.97	3.0266E6	0E0	2.0768E6	0E0	0E0	0E0	0E0	2.4153E5	7.0824E5	0E0	0E0	0E0	0E0	0E0				11216
MGYG000000262_01811	MGYG000000262_01811	2	1	2.97	9.8641E5	0E0	0E0	0E0	0E0	9.8641E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11217
MGYG000002602_00979	MGYG000002602_00979	1	1	2.97	1.3392E7	0E0	0E0	0E0	7.3868E6	0E0	1.4818E6	0E0	0E0	1.3671E6	1.4295E6	1.7267E6	0E0	0E0				11218
MGYG000002320_01121	MGYG000002320_01121	2	1	2.97	9.7125E5	0E0	0E0	0E0	0E0	0E0	9.7125E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11219
MGYG000000304_00938	MGYG000000304_00938	5	1	2.97	1.0872E6	0E0	5.8932E4	1.4931E5	0E0	0E0	0E0	4.5528E4	6.4304E5	1.9043E5	0E0	0E0	0E0	0E0				11220
MGYG000000193_00079	MGYG000000193_00079	12	1	2.96	1.5035E6	0E0	0E0	0E0	0E0	8.4225E5	6.0434E5	5.6918E4	0E0	0E0	0E0	0E0	0E0	0E0				11221
MGYG000002492_01711	MGYG000002492_01711	11	7	2.96	3.8218E5	1.2526E3	1.437E4	6.2889E3	1.1286E4	1.6773E4	4.7168E4	2.1528E3	3.1406E4	2.9481E4	2.3375E4	2.3967E4	2.6782E4	1.4788E5				11222
MGYG000000038_01731	MGYG000000038_01731	6	5	2.96	1.0721E7	0E0	1.3089E6	0E0	0E0	9.9692E5	1.7054E6	1.1713E5	1.3859E6	1.9747E6	5.8637E5	8.0619E5	1.8395E6	0E0				11223
MGYG000000201_02219	MGYG000000201_02219	1	1	2.96	1.0661E7	0E0	5.1849E6	0E0	4.8453E5	2.2405E6	0E0	0E0	0E0	1.6987E6	1.0528E6	0E0	0E0	0E0				11224
MGYG000000212_02158	MGYG000000212_02158	13	1	2.96	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11225
MGYG000002602_00093	MGYG000002602_00093	3	2	2.96	9.1865E6	0E0	0E0	2.151E6	9.0206E5	2.4407E6	1.0403E6	2.9129E5	0E0	0E0	0E0	2.3612E6	0E0	0E0				11226
MGYG000004345_01620	MGYG000004345_01620	5	3	2.96	6.7982E6	0E0	9.6965E5	1.0429E6	0E0	0E0	0E0	2.2941E5	0E0	4.5562E6	0E0	0E0	0E0	0E0				11227
MGYG000002528_00020	MGYG000002528_00020	11	1	2.96	1.1688E6	0E0	8.1323E5	3.556E5	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11228
MGYG000000140_02171	MGYG000000140_02171	5	2	2.96	3.3988E6	0E0	0E0	0E0	1.3108E6	0E0	0E0	3.3892E4	0E0	0E0	9.804E5	0E0	0E0	1.0737E6				11229
MGYG000000258_01607	MGYG000000258_01607	6	2	2.96	1.2663E6	0E0	1.2663E6	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11230
MGYG000002298_00098	MGYG000002298_00098	6	1	2.96	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0	0E0				11231
